ID,numAdults,numChild,grpSize,grpType,hoursPark,daysPark,local,overnight,nightsCampIn,nightsCampOut,nightsLodgeIn,nightsLodgeOut,nightsOther,tripPurpose,equallyNearby,primaryNearby,otherNPS,otherNPSunits,entries,DKentries,expLocalTotal,expGas,expRentalCar,expPubTrans,expSnacks,expGroceries,expHotels,expcamp,expRec,expSouvenirs,expEqpRental,expRail,expGuides,expOther,expOtherSpec,DKexpLocal,adultsCovered,childrenCovered,numSplit,zip
C1139,2,0,2,3,5,NA,0,1,0,4,0,0,0,3,NA,0,1, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,NA,NA,NA,55555
C1140,2,0,2,3,0.5,NA,0,0,NA,NA,NA,NA,NA,3,1,1,0, ,1,NA,9,0,0,0,0,9,0,0,0,0,0,0,0,0, ,NA,NA,NA,0,55555
C1144,3,0,3,3,NA,2,0,1,1,0,0,0,0,1,NA,NA,0, ,1,NA,245,25,0,0,20,0,140,0,0,35,0,0,0,0, ,NA,2,NA,1,55555
C1149,4,2,6,3,3,NA,0,1,0,0,0,0,9,2,1,1,0, ,NA,99,28,5,0,0,3,0,0,0,0,0,0,15,0,0, ,NA,2,4,2,55555
C1156,2,0,2,3,0.5,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA, ,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,55555
C1160,2,0,2,2,25,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,77,0,0,0,23,0,0,0,0,0,0,54,0,0, ,NA,2,0,1,55555
C1173,2,3,5,3,4,NA,0,1,0,0,0,2,0,3,0,0,1,"INDIANA DUNES,",1,NA,35,5,0,0,25,0,0,0,0,0,0,0,0,0, ,NA,2,18,19,55555
C1192,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA, 
C1227,2,1,3,4,2,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,NA,99,20,0,0,0,20,0,0,0,0,0,0,0,0,0, ,NA,4,NA,4,LUXEMBOURG
C1299,1,0,1,1,2.5,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,NA,99,40,20,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,NA,NA,NA,9999
